data;

param n := 5;
param nt := 3;
param Prelease := 0.02487845;
param Alp := 0.72;
param Bet := 0.00027;

param d :=
	0	0
	1	73
	2	58
	3	70
	4	97
	5	55;

param: A : al, c, PD, P :=
	0 1		9.29   45.21  287  0.664
	1 0		9.29   45.21  287  0.664
	0 2		40.33  11.78  295  0.02 
	2 0		40.33  11.78  295  0.02 
	0 3		41.84  49.59  417  0.488
	3 0		41.84  49.59  417  0.488
	0 4		27.95  29.74  395  0.061
	4 0		27.95  29.74  395  0.061
	0 5		37.1   42.8   192  0.851
	5 0		37.1   42.8   192  0.851
	1 2		31.3   29.15  247  0.859
	2 1		31.3   29.15  247  0.859
	1 3		5.75   24.51  185  0.558
	3 1		5.75   24.51  185  0.558
	1 4		27.13  39.58  336  0.877
	4 1		27.13  39.58  336  0.877
	1 5		23.78  44.67  424  0.093
	5 1		23.78  44.67  424  0.093
	2 3		33.31  11.73  163  0.196
	3 2		33.31  11.73  163  0.196
	2 4		31.85  32.67  142  0.626
	4 2		31.85  32.67  142  0.626
	2 5		40.15  12.39  413  0.675
	5 2		40.15  12.39  413  0.675
	3 4		30.78  38.34  145  0.267
	4 3		30.78  38.34  145  0.267
	3 5		25.22  47.66  234  0.527
	5 3		25.22  47.66  234  0.527
	4 5		33.88  11.4   473  0.05 
	5 4		33.88  11.4   473  0.05 ;

param Q :=
	1	102
	2	158
	3	257;

param TTAR :=
	1	0.73
	2	0.88
	3	0.4;

param f :=
	1	15
	2	23
	3	49;

