data;

param n := 50;
param nt := 20;
param Prelease := 0.02487845;
param Alp := 0.72;
param Bet := 0.00027;

param d :=
	0	0
	1	67
	2	96
	3	56
	4	98
	5	88
	6	69
	7	80
	8	80
	9	92
	10	60
	11	89
	12	56
	13	83
	14	75
	15	100
	16	59
	17	74
	18	62
	19	59
	20	83
	21	97
	22	88
	23	81
	24	68
	25	59
	26	91
	27	95
	28	78
	29	97
	30	80
	31	99
	32	55
	33	59
	34	52
	35	83
	36	85
	37	100
	38	83
	39	62
	40	50
	41	62
	42	83
	43	84
	44	73
	45	97
	46	67
	47	67
	48	55
	49	91
	50	88;

param: A : al, c, PD, P :=
	0 1		6.14   10.52  356  0.358
	0 2		7.98   13.41  442  0.469
	0 3		40.53  27.6   299  0.024
	0 4		47.07  42.86  304  0.077
	0 5		20.06  49.02  445  0.297
	0 6		26.7   14.75  462  0.587
	0 7		33.88  23.1   133  0.555
	0 8		15.09  29.01  390  0.26 
	0 9		37.08  24.49  295  0.397
	0 10		31.16  29.69  364  0.883
	0 11		25.19  20.48  438  0.68 
	0 12		16.37  25.73  205  0.223
	0 13		23.84  37.26  397  0.055
	0 14		45.05  14.72  400  0.57 
	0 15		35.29  25.04  257  0.67 
	0 16		29.34  21.99  342  0.176
	0 17		36.86  23.02  151  0.729
	0 18		12.01  42.79  254  0.243
	0 19		24.94  40.86  110  0.541
	0 20		41.84  47.25  197  0.294
	0 21		31.02  20.28  239  0.762
	0 22		15.37  30.1   484  0.622
	0 23		46.62  18.38  330  0.48 
	0 24		30.13  32.59  167  0.843
	0 25		46.43  40.61  370  0.422
	0 26		31.92  10.18  406  0.332
	0 27		22.53  10.9   152  0.771
	0 28		43.57  45.89  124  0.419
	0 29		39.17  49.06  484  0.01 
	0 30		28.66  12.12  407  0.612
	0 31		37.36  40.04  377  0.537
	0 32		13.94  13.28  237  0.754
	0 33		48.47  23.64  491  0.431
	0 34		9.15   46.4   260  0.24 
	0 35		7.77   44.12  279  0.25 
	0 36		40.84  45.75  319  0.356
	0 37		27.53  21.2   288  0.282
	0 38		31.19  21.49  498  0.664
	0 39		34.39  28.95  274  0.589
	0 40		5.09   19.06  158  0.888
	0 41		39.98  25.15  288  0.594
	0 42		49.43  18.92  289  0.884
	0 43		34.47  36.35  256  0.302
	0 44		6.31   29.29  245  0.434
	0 45		26.32  24.71  305  0.875
	0 46		5.1    41.04  338  0.577
	0 47		18.35  19.33  195  0.139
	0 48		46.19  39.11  370  0.16 
	0 49		8.65   24.47  391  0.304
	0 50		49.77  43.95  352  0.805
	1 0		12.45  47.89  471  0.062
	1 2		11.19  23.28  399  0.268
	1 3		23.5   31.43  335  0.949
	1 4		21.83  24.87  132  0.778
	1 5		31.96  37.82  176  0.822
	1 6		28.89  20.62  112  0.843
	1 7		28.95  11.09  271  0.96 
	1 8		14.64  33.57  357  0.041
	1 9		15.38  43.01  277  0.294
	1 10		45.04  29.99  480  0.468
	1 11		39.32  44.44  350  0.013
	1 12		34.12  32.87  111  0.326
	1 13		12.94  40.75  286  0.436
	1 14		20.5   28.14  278  0.803
	1 15		49.26  11.39  204  0.775
	1 16		31.77  45.57  496  0.485
	1 17		30.41  35.46  186  0.573
	1 18		12.59  35.59  189  0.981
	1 19		41.09  35.81  223  0.632
	1 20		38.95  34.62  274  0.901
	1 21		17.3   49.23  266  0.866
	1 22		38.31  16.8   337  0.361
	1 23		5.58   49.8   369  0.639
	1 24		44.88  43.27  307  0.707
	1 25		37.05  22.47  426  0.263
	1 26		6.36   29.67  185  0.045
	1 27		9.8    47.25  305  0.851
	1 28		9.25   36.27  100  0.114
	1 29		15.11  45.5   224  0.104
	1 30		8.73   16.25  133  0.123
	1 31		21.99  33.11  354  0.892
	1 32		20.67  16.96  163  0.15 
	1 33		34.35  15.76  125  0.724
	1 34		18.88  48.76  417  0.361
	1 35		37.9   25.64  418  0.547
	1 36		45.88  22.0   114  0.151
	1 37		26.55  30.41  165  0.368
	1 38		11.76  18.93  462  0.572
	1 39		22.91  41.6   284  0.847
	1 40		48.02  30.18  274  0.291
	1 41		39.1   30.1   420  0.291
	1 42		45.17  27.84  305  0.162
	1 43		37.86  48.91  473  0.508
	1 44		39.4   41.51  314  0.674
	1 45		12.37  26.93  108  0.897
	1 46		12.76  31.79  388  0.552
	1 47		9.9    37.07  320  0.596
	1 48		18.36  20.2   113  0.795
	1 49		48.19  31.78  397  0.235
	1 50		17.95  38.12  261  0.629
	2 0		36.08  46.43  171  0.274
	2 1		42.17  22.17  163  0.843
	2 3		33.93  42.65  187  0.145
	2 4		39.11  38.82  442  0.238
	2 5		15.74  35.24  223  0.6  
	2 6		38.17  38.81  178  0.596
	2 7		17.95  47.61  103  0.578
	2 8		20.23  26.69  276  0.517
	2 9		47.32  20.24  260  0.077
	2 10		21.44  45.44  313  0.119
	2 11		45.71  30.45  397  0.813
	2 12		16.38  38.29  495  0.257
	2 13		23.32  43.85  300  0.807
	2 14		20.48  38.63  464  0.85 
	2 15		27.71  44.49  400  0.499
	2 16		41.26  17.14  193  0.818
	2 17		35.31  31.08  464  0.61 
	2 18		48.84  28.15  256  0.684
	2 19		5.13   15.06  438  0.237
	2 20		46.53  46.95  330  0.368
	2 21		11.16  10.44  273  0.159
	2 22		29.08  31.39  397  0.603
	2 23		37.46  30.58  306  0.112
	2 24		33.22  24.81  320  0.462
	2 25		6.48   32.68  202  0.571
	2 26		13.75  45.43  145  0.895
	2 27		11.54  35.6   253  0.86 
	2 28		27.46  10.98  156  0.756
	2 29		40.74  22.49  283  0.595
	2 30		7.3    28.81  317  0.479
	2 31		14.36  10.55  374  0.101
	2 32		6.37   33.5   185  0.996
